City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,pangai,-19.8,-174.35,22.89,62,32,9.6,TO,1722362968
128,dryden,49.7833,-92.7503,28.84,37,0,2.88,CA,1722362968
129,hotan,37.0997,79.9269,33.77,13,100,2.33,CN,1722362969
130,susuman,62.7833,148.1667,9.36,83,100,5.44,RU,1722362813
131,plettenberg bay,-34.0527,23.3716,10.21,68,34,3.75,ZA,1722362969
132,ciudad lazaro cardenas,17.9583,-102.2,26.64,88,100,4.17,MX,1722362969
133,veraval,20.9,70.3667,27.78,88,65,6.48,IN,1722362969
134,saint-joseph,-21.3667,55.6167,18.59,72,5,2.09,RE,1722362970
135,rajpur,22.3,74.35,25.39,88,75,4.78,IN,1722362970
136,north bend,43.4065,-124.2243,20.69,82,100,1.54,US,1722362970
137,selfoss,63.9331,-20.9971,11.16,77,99,4.29,IS,1722362971
138,tura,25.5198,90.2201,25.28,92,82,2.98,IN,1722362971
139,tindouf,27.6711,-8.1474,44.7,7,11,0.73,DZ,1722362971
140,ushuaia,-54.8,-68.3,2.79,75,29,0.86,AR,1722362971
141,brzeg dolny,51.273,16.7082,26.0,46,8,2.53,PL,1722362972
142,san luis,-33.295,-66.3356,16.74,27,99,5.39,AR,1722362972
143,ondjiva,-17.0667,15.7333,19.81,12,3,2.41,AO,1722362972
144,st. john's,47.5649,-52.7093,28.97,68,74,2.68,CA,1722362863
145,krasnyy kholm,58.0607,37.1203,14.5,90,87,2.84,RU,1722362972
146,neryungri,56.6709,124.6491,12.3,96,100,2.95,RU,1722362973
147,bredasdorp,-34.5322,20.0403,7.91,72,20,1.26,ZA,1722362775
148,qamdo,31.1667,97.2333,5.78,67,24,1.81,CN,1722362973
149,pitangueiras,-21.0094,-48.2217,25.29,30,53,3.7,BR,1722362973
150,aykhal,66.0,111.5,6.73,77,15,2.24,RU,1722362973
151,coyhaique,-45.5752,-72.0662,6.34,97,100,2.17,CL,1722362974
152,alofi,-19.0595,-169.9187,20.94,68,100,5.14,NU,1722362974
153,laela,-8.5667,32.05,18.56,22,1,2.51,TZ,1722362974
154,kingston,17.997,-76.7936,32.53,66,20,9.77,JM,1722362891
155,carnarvon,-24.8667,113.6333,18.56,84,0,5.0,AU,1722362782
156,kirensk,57.7853,108.1119,12.74,90,4,2.41,RU,1722362975
157,chibougamau,49.9168,-74.3659,29.66,34,46,2.86,CA,1722362975
158,fuglafjordur,62.244,-6.814,12.26,80,31,6.43,FO,1722362975
159,fort mcmurray,56.7268,-111.381,24.59,34,8,2.69,CA,1722362975
160,bir hadaj,31.0263,34.7031,27.93,54,0,4.0,IL,1722362975
161,nago,26.5881,127.9761,29.24,90,26,1.36,JP,1722362976
162,talnakh,69.4865,88.3972,19.31,46,13,2.04,RU,1722362976
163,lompoc,34.6391,-120.4579,27.79,68,0,6.17,US,1722362976
164,ixtapa,20.7,-105.2,32.35,70,40,3.6,MX,1722362977
165,tolanaro,-25.0319,46.9987,19.73,78,97,1.96,MG,1722362977
166,lev tolstoy,53.2134,39.446,14.55,91,85,2.45,RU,1722362977
167,an nuhud,12.7,28.4333,26.56,69,100,6.67,SD,1722362977
168,nadi,-17.8,177.4167,17.0,88,20,3.09,FJ,1722362854
169,senahu,15.4,-89.8333,22.0,75,97,2.04,GT,1722362978
170,sitka,57.0531,-135.33,13.94,88,100,4.63,US,1722362874
171,el nido,11.1858,119.3956,26.75,97,53,0.32,PH,1722362979
172,luderitz,-26.6481,15.1594,12.9,75,0,9.97,NA,1722362979
173,oranjemund,-28.55,16.4333,12.28,85,1,10.11,NA,1722362787
174,newman,37.3138,-121.0208,29.02,25,0,1.08,US,1722362979
175,preobrazheniye,42.9019,133.9064,17.61,93,96,0.41,RU,1722362979
176,la foa,-21.7108,165.8276,19.05,79,100,2.24,NC,1722362980
177,cestos city,5.46,-9.5828,25.44,79,80,4.65,LR,1722362980
178,savoy,45.5,6.4167,23.17,67,100,1.19,FR,1722362980
179,vila franca do campo,37.7167,-25.4333,25.23,67,29,2.89,PT,1722362980
180,chinde,26.8212,87.7095,25.85,86,62,1.53,NP,1722362981
181,saipan,15.1355,145.701,27.39,83,0,2.06,MP,1722362981
182,kudahuvadhoo,2.6708,72.8944,28.68,77,100,4.94,MV,1722362981
183,choibalsan,48.0667,114.5,19.98,72,97,2.05,MN,1722362981
184,ojinaga,29.5667,-104.4167,36.53,23,0,2.06,MX,1722362982
185,ancud,-41.8697,-73.8203,8.52,64,100,1.67,CL,1722362771
186,yarmouth,41.7057,-70.2286,28.43,81,0,7.72,US,1722362982
187,cannonvale,-20.2833,148.7,17.66,71,60,7.24,AU,1722362982
188,aleysk,52.4926,82.7822,18.42,65,32,2.19,RU,1722362982
189,chimore,-16.9833,-65.1333,26.93,45,66,1.37,BO,1722362983
190,island harbour,50.724,-1.2758,27.34,60,22,2.11,GB,1722362983
191,remire-montjoly,4.9167,-52.2667,32.02,66,20,6.17,GF,1722362983
192,luena,-11.7833,19.9167,19.78,18,43,1.11,AO,1722362983
193,chonchi,-42.6128,-73.8092,11.73,71,100,1.73,CL,1722362821
194,mulanje,-16.0316,35.5,20.52,33,5,2.29,MW,1722362984
195,kangding,30.0513,101.9603,13.45,84,4,1.94,CN,1722362829
196,mahibadhoo,3.7833,72.9667,28.2,81,100,5.33,MV,1722362984
197,nuuk,64.1835,-51.7216,4.34,87,75,8.75,GL,1722362984
198,port macquarie,-31.4333,152.9167,11.15,80,89,0.89,AU,1722362984
199,ad douiem,14.0012,32.3116,30.63,52,87,5.75,SD,1722362985
200,new norfolk,-42.7826,147.0587,3.73,97,9,1.12,AU,1722362985
201,narimanov,46.6927,47.8498,23.95,57,0,8.45,RU,1722362985
202,linkou,45.3,130.2833,18.78,92,98,0.7,CN,1722362985
203,anadyr,64.75,177.4833,12.28,81,0,5.0,RU,1722362986
204,hasaki,35.7333,140.8333,27.22,89,68,2.03,JP,1722362986
205,meiktila,20.8667,95.8667,23.71,91,100,7.65,MM,1722362986
206,bushehr,28.9684,50.8385,32.59,80,19,5.77,IR,1722362986
207,isafjordur,66.0755,-23.124,10.02,87,75,2.57,IS,1722362798
208,edd,13.9297,41.6925,32.6,70,90,2.73,ER,1722362987
209,monte cristo,-31.3431,-63.9444,18.85,28,58,7.74,AR,1722362987
210,ola,59.5833,151.2833,10.35,83,100,1.49,RU,1722362987
211,tiksi,71.6872,128.8694,2.21,94,100,3.2,RU,1722362987
212,simiti,7.9579,-73.9436,35.79,47,58,2.08,CO,1722362988
213,srandakan,-7.9386,110.2506,23.26,92,23,1.14,ID,1722362988
214,warrnambool,-38.3833,142.4833,5.9,89,8,3.78,AU,1722362988
215,jodiya bandar,22.7167,70.2833,28.43,86,95,7.0,IN,1722362988
216,itamarandiba,-17.8572,-42.8589,27.75,27,17,3.53,BR,1722362988
217,aasiaat,68.7098,-52.8699,3.35,86,100,1.27,GL,1722362989
218,port alfred,-33.5906,26.891,12.32,72,44,1.79,ZA,1722362989
219,lamu,-2.2717,40.902,24.31,79,59,5.95,KE,1722362989
220,yeppoon,-23.1333,150.7333,9.58,68,34,4.5,AU,1722362989
221,shubarkuduk,49.1447,56.4872,27.38,29,23,3.27,KZ,1722362990
222,oppdal,62.5943,9.6912,15.46,77,98,3.32,NO,1722362990
223,metlili chaamba,32.2667,3.6333,37.3,15,0,6.12,DZ,1722362990
224,shalqar,47.8333,59.6,29.76,20,1,4.42,KZ,1722362991
225,kingscliff,-28.2667,153.5667,9.41,82,23,4.43,AU,1722362991
226,quellon,-43.1167,-73.6167,8.59,76,100,2.9,CL,1722362991
227,port elizabeth,-33.918,25.5701,13.39,73,53,2.24,ZA,1722362991
228,iskateley,67.6803,53.1512,14.78,90,99,3.91,RU,1722362992
229,san vicente de canete,-13.0751,-76.3835,18.15,77,53,3.8,PE,1722362992
230,puerto santa,-8.9906,-78.6456,19.76,74,73,4.31,PE,1722362992
231,puerto aysen,-45.4,-72.7,5.55,100,100,0.41,CL,1722362992
232,callao,-12.0667,-77.15,21.34,80,50,4.15,PE,1722362993
233,kidal,18.4411,1.4078,34.17,38,61,3.93,ML,1722362993
234,saint-philippe,-21.3585,55.7679,18.77,75,10,1.87,RE,1722362882
235,udachny,66.4167,112.4,7.26,70,62,2.19,RU,1722362811
236,la ronge,55.1001,-105.2842,20.34,56,99,3.98,CA,1722362993
237,smithers,54.7804,-127.1743,14.97,86,100,1.35,CA,1722362993
238,chany,55.3121,76.7647,14.78,85,65,1.8,RU,1722362994
239,quang ngai,15.1167,108.8,25.42,88,100,2.25,VN,1722362994
240,usogorsk,63.4106,48.6872,18.1,69,98,0.85,RU,1722362994
241,warmbad,-28.45,18.7333,12.19,31,0,2.24,NA,1722362994
242,melfort,52.8667,-104.6177,26.02,43,89,2.46,CA,1722362995
243,sosnovo-ozerskoye,52.5249,111.5418,14.24,87,21,2.26,RU,1722362995
244,mawu,34.4307,104.9176,15.22,46,66,2.58,CN,1722362995
245,old town,50.087,14.4202,26.27,38,39,1.34,CZ,1722362995
246,monrovia,6.3005,-10.7969,25.87,79,100,5.14,LR,1722362995
247,margate,51.3813,1.3862,23.82,74,40,4.61,GB,1722362996
248,nar'yan-mar,67.6713,53.087,14.62,90,99,3.84,RU,1722362996
249,afaahiti,-17.75,-149.2833,22.93,76,100,13.68,PF,1722362996
250,cockburn town,21.4612,-71.1419,28.45,81,86,8.5,TC,1722362996
251,siocon,7.7061,122.1353,26.09,87,93,1.63,PH,1722362996
252,flying fish cove,-10.4217,105.6791,24.82,83,100,4.63,CX,1722362997
253,ust-nera,64.5667,143.2,5.67,97,100,3.83,RU,1722362997
254,antsiranana,-12.2787,49.2917,23.01,66,18,6.99,MG,1722362997
255,flin flon,54.7682,-101.865,28.63,34,100,2.02,CA,1722362998
256,yuli,9.6989,10.2744,24.58,91,79,2.31,NG,1722362998
257,muang khong,14.1167,105.85,23.49,98,100,0.82,LA,1722362998
258,kitama,-10.7167,39.7333,17.29,77,9,0.7,TZ,1722362998
259,hell-ville,-13.4,48.2667,25.05,72,6,1.67,MG,1722362998
260,chilliwack,49.1747,-121.9443,19.99,92,100,0.89,CA,1722362999
261,hazard,37.2495,-83.1932,28.13,73,39,4.59,US,1722362999
262,bonthe,7.5264,-12.505,25.03,81,99,4.92,SL,1722362999
263,taishan,22.2514,112.7799,26.25,93,94,1.68,CN,1722362999
264,zhangye,38.9342,100.4517,25.13,27,45,3.05,CN,1722362999
265,andovoranto,-18.95,49.1,19.81,81,0,2.29,MG,1722363000
266,seminole,28.7086,-81.2081,35.76,52,20,3.09,US,1722363000
267,fitzgerald,31.7149,-83.2526,31.99,66,0,1.54,US,1722362722
268,mount gambier,-37.8333,140.7667,3.56,88,59,2.47,AU,1722363000
269,san antonio de pale,-1.4014,5.6325,22.49,78,47,5.69,GQ,1722363000
270,gorontalo,0.5412,123.0595,23.08,97,79,0.72,ID,1722362835
271,leh,34.1667,77.5833,17.66,50,100,1.21,IN,1722363001
272,lazaro cardenas,17.9583,-102.2,26.64,88,100,4.17,MX,1722363001
273,marquette,46.5333,-87.6335,27.92,76,4,2.68,US,1722362862
274,rongelap,11.1635,166.8941,28.08,77,76,5.41,MH,1722363002
275,richfield,44.8833,-93.283,29.58,69,100,2.57,US,1722363002
276,constitucion,-35.3333,-72.4167,13.7,53,100,3.59,CL,1722363002
277,kotlas,61.2611,46.6556,17.7,72,100,0.9,RU,1722362964
278,christiana,-27.914,25.1611,8.95,22,51,4.84,ZA,1722363003
279,jabat,7.75,168.9751,28.52,75,93,3.68,MH,1722363003
280,gordonvale,-17.0936,145.7842,18.88,93,65,2.3,AU,1722363003
281,korla,41.7597,86.1469,34.35,21,1,3.21,CN,1722363004
282,ongjin,37.9347,125.3619,23.86,97,27,1.64,KP,1722363004
283,kanggye,40.9695,126.5852,22.24,97,90,1.62,KP,1722363004
284,birjand,32.8663,59.2211,28.26,21,0,3.09,IR,1722362778
285,devils lake,48.1128,-98.8651,27.99,57,0,6.69,US,1722363005
286,crane,31.3974,-102.3501,32.71,43,1,8.04,US,1722362810
287,igarka,67.4667,86.5833,21.65,54,100,7.03,RU,1722363005
288,malango,-2.9627,119.9001,18.32,99,63,1.0,ID,1722363005
289,argo,37.6333,22.7333,30.99,40,13,0.51,GR,1722362858
290,villa gesell,-37.2639,-56.973,11.18,52,100,8.23,AR,1722363006
291,la passe,45.5549,-0.8967,32.13,68,61,5.16,FR,1722363006
292,val-d'or,48.1002,-77.7828,28.09,47,93,2.21,CA,1722363006
293,usinsk,65.9939,57.5281,16.96,86,100,4.11,RU,1722362781
294,swan hill,-35.3378,143.5544,4.9,90,21,1.93,AU,1722363006
295,alice springs,-23.7,133.8833,0.75,64,0,3.09,AU,1722363007
296,polyarnyy,69.1989,33.4478,10.31,84,100,7.24,RU,1722363007
297,parry sound,45.3501,-80.033,27.2,63,100,1.86,CA,1722363007
298,santiago de cao,-7.9589,-79.2392,18.07,88,75,0.0,PE,1722363007
299,khandyga,62.6667,135.6,9.58,96,100,2.07,RU,1722363008
300,new plymouth,-39.0667,174.0833,10.45,100,89,8.67,NZ,1722363008
301,kulhudhuffushi,6.6221,73.07,28.56,81,100,5.18,MV,1722362783
302,macon,39.8667,-88.9668,29.86,65,0,2.57,US,1722363009
303,viljoenskroon,-27.2084,26.9485,10.08,19,95,2.91,ZA,1722363009
304,howard springs,-12.497,131.047,23.95,74,41,2.55,AU,1722363009
305,pangody,65.85,74.4859,18.82,80,99,2.2,RU,1722363009
306,pacific grove,36.6177,-121.9166,22.89,81,40,3.6,US,1722363009
307,abu jibeha,11.4562,31.2285,22.91,87,95,2.56,SD,1722363010
308,goianesia,-15.3175,-49.1175,33.22,17,1,1.83,BR,1722363010
309,puerto armuelles,8.2833,-82.8667,31.99,79,96,1.34,PA,1722363010
310,midvagur,62.0511,-7.1939,12.46,87,75,6.17,FO,1722363010
311,khash,28.2211,61.2158,30.48,19,100,6.89,IR,1722363011
312,cangzhou,38.3167,116.8667,27.37,87,55,6.04,CN,1722363011
313,walvis bay,-22.9575,14.5053,12.83,81,3,8.04,NA,1722363011
314,taos,36.4072,-105.5731,30.11,26,0,2.06,US,1722363011
315,camana,-16.6228,-72.7111,17.64,74,15,3.23,PE,1722362851
316,vylkove,45.4021,29.586,23.49,47,43,4.66,UA,1722363012
317,constantia,44.1833,28.65,26.38,48,2,0.59,RO,1722363012
318,chadron,42.8294,-102.9999,35.82,19,0,3.6,US,1722362896
319,petauke,-14.2426,31.3253,20.97,22,20,2.6,ZM,1722363012
320,pariaman,-0.619,100.12,24.03,88,97,2.11,ID,1722363013
321,tazovsky,67.4667,78.7,16.04,99,100,3.47,RU,1722363013
322,sechura,-5.5569,-80.8222,24.08,60,7,5.72,PE,1722363013
323,ghadamis,30.1337,9.5007,34.87,15,0,5.79,LY,1722363014
324,mugia,43.1041,-9.2179,24.53,82,25,2.63,ES,1722363014
325,northam,51.0333,-4.2167,22.01,77,73,2.96,GB,1722363014
326,boa vista,2.8197,-60.6733,27.99,69,75,2.06,BR,1722363014
327,wauchope,-31.45,152.7333,11.19,80,80,2.93,AU,1722363015
328,hithadhoo,-0.6,73.0833,28.9,75,100,4.68,MV,1722362801
329,alexandria,31.2156,29.9553,28.2,70,0,3.96,EG,1722363015
330,itoman,26.1247,127.6694,29.21,89,40,3.6,JP,1722363015
331,tomatlan,19.9333,-105.25,32.5,58,100,2.02,MX,1722363015
332,neiafu,-18.65,-173.9833,23.44,59,65,10.16,TO,1722363016
333,broken hill,-31.95,141.4333,6.58,67,4,3.58,AU,1722363016
334,auki,-8.7676,160.7034,23.99,89,49,1.48,SB,1722363016
335,alotau,-10.3069,150.4462,23.16,97,100,1.54,PG,1722363016
336,laguna,38.421,-121.4238,27.75,61,0,2.06,US,1722363017
337,aitape,-3.1374,142.3475,25.43,91,53,2.39,PG,1722363017
338,forbes,-33.3833,148.0167,1.62,84,9,2.43,AU,1722363017
339,inhambane,-23.865,35.3833,20.38,76,3,4.05,MZ,1722363017
340,klyuchi,52.2667,79.1667,21.82,54,71,3.24,RU,1722363018
341,luganville,-15.5333,167.1667,23.62,88,82,4.12,VU,1722363018
342,mochudi,-24.4167,26.15,21.33,21,6,2.57,BW,1722363019
343,tangalle,6.024,80.7911,26.6,87,100,3.6,LK,1722363019
344,basco,20.4487,121.9702,28.5,80,28,6.63,PH,1722363019
345,leava,-14.3,-178.1667,26.61,63,78,10.95,WF,1722363019
346,rikaze,29.25,88.8833,15.7,33,3,1.5,CN,1722363019
347,kununurra,-15.7667,128.7333,22.99,40,77,3.09,AU,1722363020
348,bamboo flat,11.7,92.7167,27.46,83,100,6.52,IN,1722363020
349,al kharijah,25.4514,30.5464,34.29,19,43,2.93,EG,1722363020
350,kalmunai,7.4167,81.8167,28.7,72,100,0.85,LK,1722362837
351,berdigestyakh,62.0989,126.6992,10.97,60,24,4.21,RU,1722363021
352,mbale,1.0821,34.175,19.86,74,100,1.48,UG,1722363021
353,as sulayyil,20.4607,45.5779,38.14,11,47,4.21,SA,1722363021
354,mumbwa,-14.9783,27.0619,19.7,14,5,1.81,ZM,1722363021
